"Стандартная";"Экспресс-анализаторы на серу";"2018-05-07T19:00:00.000Z";"164789";"8678-82";"1 год";"Нет";"Действует";;"Опубликована";["АС-7932"];"Да";"Завод измерительных приборов, Беларусь, г.Гомель";"008678-008018";"Срок свидетельства";"БЕЛАРУСЬ, г.Гомель, Да, Завод измерительных приборов";"387189"
"Стандартная";"Экспресс-анализаторы на серу";"2018-05-07T19:00:00.000Z";"164787";"8678-04";"1 год";"Нет";"Действует";;"Опубликована";["АС-7932, АС-7932М"];"Да";"РУП \"Гомельский завод измерительных приборов\", Беларусь, г.Гомель";"008678-007996";"Срок свидетельства";"БЕЛАРУСЬ, г.Гомель, Да, РУП \"Гомельский завод измерительных приборов\"";"387187"
"Стандартная";"Экспресс-анализаторы на серу";"2018-05-07T19:00:00.000Z";"164788";"8678-13";"1 год";"Нет";"Действует";;"Опубликована";["АС-7932М"];"Да";"ОАО \"Гомельский завод измерительных приборов\", Беларусь, г.Гомель";"008678-007987";"Срок свидетельства";"БЕЛАРУСЬ, г.Гомель, Да, ОАО \"Гомельский завод измерительных приборов\"";"387188"
"Стандартная";"Экспресс-анализаторы на серу";"2020-09-19T19:00:00.000Z";"178255";"8678-20";"1 год";"";"Действует";"";"Опубликована";["АС-7932М"];"Да";"ОАО \"Гомельский завод измерительных приборов\", Беларусь, г.Гомель";"008678-007980";"Срок свидетельства";;"1382005"
"Стандартная";"Дозиметры";"2018-05-07T19:00:00.000Z";"164786";"8677-82";"1 год (ГОСТ 8.002-71)";"Нет";"Действует";"*)";"Опубликована";["ДКС-05"];"Да";"ОАО \"Пятигорский завод \"Импульс\", г.Пятигорск";"008677-008018";"Заводской номер";"РОССИЯ, г.Пятигорск, Да, ОАО \"Пятигорский завод \"Импульс\"";"387186"
"Стандартная";"Устройства детектирования";"2018-05-07T19:00:00.000Z";"164785";"8676-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["УДЖГ-07Р"];"Нет";"П/я В-8512 (Завод \"Сигнал\"), г.Обнинск";"008676-008018";"Заводской номер";"РОССИЯ, г.Обнинск, Да, П/я В-8512 (Завод \"Сигнал\")";"387185"
"Стандартная";"Ваттметры поглощаемой мощности";"2018-05-07T19:00:00.000Z";"164784";"8675-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["М3-64, М3-64/1, М3-64/2"];"Нет";"П/я Г-4335 (\"Электроаппарат\"), г.Брянск";"008675-008018";"Заводской номер";"РОССИЯ, г.Брянск, Да, П/я Г-4335 (\"Электроаппарат\")";"387184"
"Стандартная";"Измерители комплексных коэффициентов передачи";"2018-05-07T19:00:00.000Z";"164783";"8674-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Р4-38"];"Нет";"П/я А-7859 (ПО им.60-летия Октября), Литва, г.Вильнюс";"008674-008018";"Заводской номер";"ЛИТВА, г.Вильнюс, Да, П/я А-7859 (ПО им.60-летия Октября)";"387183"
"Стандартная";"Приборы комплексные электрического каротажа и профилеметрии";"2018-05-07T19:00:00.000Z";"164782";"8673-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["К1А-723"];"Нет";"Опытное производство ВНИИнефтепромгеофизика, г.Уфа";"008673-008018";"Заводской номер";"РОССИЯ, г.Уфа, Да, Опытное производство ВНИИнефтепромгеофизика";"387182"
"Стандартная";"Влагомеры щепы автоматические цифровые";"2018-05-07T19:00:00.000Z";"164781";"8672-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ВЩАЦ-1"];"Нет";"Опытный завод СКБ \"Проектприбор\", Грузия, г.Кутаиси";"008672-008018";"Заводской номер";"ГРУЗИЯ, г.Кутаиси, Да, Опытный завод СКБ \"Проектприбор\"";"387181"
"Стандартная";"Газометры";"2018-05-07T19:00:00.000Z";"164778";"8671-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ГХ-1"];"Нет";"Опытный завод \"Хроматограф\", г.Москва";"008671-008018";"Заводской номер";"РОССИЯ, г.Москва, Да, Опытный завод \"Хроматограф\"";"387178"
"Стандартная";"Газометры";"2018-05-07T19:00:00.000Z";"164779";"8671-89";"2 года";"Нет";"Действует";"*)";"Опубликована";["ГХ-1"];"Да";"Опытный завод \"Хроматограф\", г.Москва";"008671-008011";"Заводской номер";"РОССИЯ, г.Москва, Да, Опытный завод \"Хроматограф\"";"387179"
"Стандартная";"Газометры";"2018-05-07T19:00:00.000Z";"164780";"8671-92";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ГХ-1"];"Нет";"ОАО \"Хроматограф\", г.Москва";"008671-008008";"Заводской номер";"РОССИЯ, г.Москва, Да, ОАО \"Хроматограф\"";"387180"
"Стандартная";"Хроматографы газовые";"2018-05-07T19:00:00.000Z";"164777";"8670-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Хром-5"];"Нет";"Завод \"Лабораторные приборы\", Чехия";"008670-008018";"Заводской номер";"ЧЕШСКАЯ РЕСПУБЛИКА, , Да, Завод \"Лабораторные приборы\"";"387177"
"Стандартная";"Комплексы гидрофизические зондирующие";"2018-05-07T19:00:00.000Z";"164775";"8669-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Исток-5"];"Нет";"Морской гидрофизический институт, г.Севастополь";"008669-008018";"Заводской номер";"РОССИЯ, г.Севастополь, Да, Морской гидрофизический институт";"387175"
"Стандартная";"Измерители высоты нижней границы облаков";"2018-05-07T19:00:00.000Z";"164774";"8668-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ЛИНГО-2"];"Нет";"НИИП, г.Москва";"008668-008018";"Заводской номер";"РОССИЯ, г.Москва, Да, НИИП";"387174"
"Стандартная";"Поляриметры фотоэлектронные";"2018-05-07T19:00:00.000Z";"164773";"8667-82";"1 год (ГОСТ 8.002-71)";"Нет";"Действует";"*)";"Опубликована";["ФЭП-02"];"Да";"ПО \"Загорский оптико-механический завод\" (ЗОМЗ), г.Сергиев Посад";"008667-008018";"Заводской номер";"РОССИЯ, г.Сергиев Посад, Да, ПО \"Загорский оптико-механический завод\" (ЗОМЗ)";"387173"
